row,review_text,bugs_crashes,performance,ui_controls,opacity_teaching,tedium_grind,monetization_dlc,unfinished_abandoned,update_regression,npc_ai_pathing,shallow_repetitive,procgen_hollow,rng_unfair,difficulty_punishing,developer_conduct,taste_mismatch,non_substantive
51,This new Update regarding the Navy is very unfun to play,,,,,,,,,,,,,,,,
57,"Every part of Qud's design that involves creativity is brilliant. Every part of it that involves judgement, or seeing the big picture, is totally incompetent. It's also a game that seems to resent its players and that is actively hostile to their understanding of the game world. First, the game generates visual scenes with are utterly incomprehensible, due its the haphazard, thoughtless map generation algorithms. I have never played a game where it felt worse to try to stumble through level maps, because they are absolutely crammed full of tiles that block movement, or sight, or both. The number of these blocking tiles would literally need to be decreased by a factor of two or three to be acceptable. The map generation process doesn't verify the inside of structures it generates connect to the outside. It doesn't even make sure the player isn't trapped in one of these inaccessible spaces when they enter a level. Awful, low contrast color choices make it hard to tell apart tiles from actors or tiles from other tiles. And that's before the screen gets smeared with blood and gunk and slime. Over the course of battle, characters leak an absurd amount of fluid. And it just builds up, and builds up. Your character slips on it and steps in it. Sometimes these fluids are harmful, and sometimes the does warn you before you step on a harmful tile...And sometimes it doesn't. Autoexplore can kill you. The level of message spam the game throws at you is bizarre. The message buffer narrates every time you walk under a tree...Even if the tree does nothing. The message buffer is the entire length of the screen on the right side, and yet it still barely keeps up with all the meaningless nonsense messages the game drowns you in. Oh, if there is some sort of environmental fluid on equipment you use or encounter, get ready for an even longer description to be crammed into the buffer each time you attack with it. The game is possessed of cascading effects that are ignorant of each other, and difficulty is completely uneven. At certain break points in stats, damage is multiplied many times over, meaning that you can go from enemies being fairly harmless at some stat levels to killing you in a few shots at slightly higher levels. Experience rewards make no sense based on how difficult enemies are to kill. Some types of end game enemies are assigned random abilities, and this means an enemy with exactly the same appearance can be either a deadly threat or trivial. Finally, it's a game with so many interface screws on top of it's already obfuscated visual style. You can go colorblind. The screen gets scrambled when you are confused. The names of your items are scrambled when you are confused. For all these reasons, I've never played a game where I said more often ""I don't know what just happened."" Understand this: Qud is a meme game. You can post interesting stories about it online, like the time you got ""crungled by a dreamcrungle"". But actually playing it is like wading through sewage.",,,,,,,,,,,,,,,,
63,This game drives me up the wall.,,,,,,,,,,,,,,,,
70,"Absolutly love Rimworld. DF lack QoL option and is not really fun, i dont care about my dwarves like i care about my pawn in RM. I understand that it can create story, but you can completely miss it and then the game become boring. It seem ""loosing is fun"" but i juste dont loose, just nothing happen at all except a drunk guy fell into the well and drown. (absolute cinema) Does'nt really have the time to play a game that take hundreds of hours before becoming something that i can enjoy. I gonna give it another try when more Qol will be added, like copy/pasting layout or planing without having the furniture made yet.",,,,,,,,,,,,,,,,
74,"Well, players' villager AI still sucks. almost always take the longest route and do jobs as inefficiently as possible. It has had too many bugs for more than 3 years of early access. It's lovely to build in this game and all, but it's frustrating to play.",,,,,,,,,,,,,,,,
79,Endlessly optimizing resource gathering and balancing without any clear end-goal purpose is not a sustainable game mechanic. The game seriously lacks depth.,,,,,,,,,,,,,,,,
82,Slow development time compared to the amount of content added each update. Slow response to game breaking bugs/updates. Disconnect from developers and the what the community wants.,,,,,,,,,,,,,,,,
86,"What a terribly designed game this is. There's NO tutorial, No explanation of what to do, just an incredibly dense GUI and zero assistance. just learning how to play this is so dense, its pathetic. Only buy this is you are dedicated to learning every aspect of the gave control and scenarios. its not something you can pick up and play and frankly, the lack of finished game here is appalling. absolutely not recommended to anyone except the die hard strategy fan who is prepared to read through multiple websites and wikis just to find out what the point of the game is and how to play it.",,,,,,,,,,,,,,,,
95,The game is fun but has so many small issue that add up to make it not worth buying. Almost every aspect/mechanic in the game feels shallow or like a proof of concept rather than an actual game or mechanic to engage with. I feel like there is a cycle I go through where the idea of playing sounds amazing so I start up a new colony and only a few hours in I'm reminded of all the small design choices that make me stop playing. So I'll try modding the game to state that feel playable but it always feel like just a coat of paint over a crumbling house. Honestly this games core systems could use a full rework.,,,,,,,,,,,,,,,,
100,Not a big fan of the game,,,,,,,,,,,,,,,,
105,So much wasted potential. Game is so broken it borders an unplayable state.,,,,,,,,,,,,,,,,
108,"When I boot up a fantasy story or a game on that genre, I expect characters with different classes (swordsman, thief, mage...) to represent different backgrounds, upbringings and/or moral choices. A mage doesn't necessarily have to be a smart person, but, he has to have come from a mentor (or some tough self-learning) that leaned him towards certain life goals involving knowledge, regardless to whether he feels connected to these goals or not. When I see a werewolf character, I expect him to struggle with issues like self control, self worth... or at least address them in some way due to their inevitable messy nature. Wildermyth, however, doesn't tackle issues like that in any way. Your characters already start as warrior, archer and mage (the only 3 classes of the game) without being tied to anything, and they can transform themselves into wolves, skeletons and elemental forms without any changes in their goals or how society views them whatsoever. It's a shame, because I really like the premise of this game design, but in the end, the lack of worldbuilding being tied to what each class (and transformatiom) can do turned my experience into a big pile of blankness. You do get choice/generated romances, friendships and rivalries, but they also feel empty due to not being tied into morals, upbringings or goals. If this system was tied to meaningful worldbuilding, I feel like my experience would have been 1000x better.",,,,,,,,,,,,,,,,
113,Trash,,,,,,,,,,,,,,,,
116,Had high hopes for this one but minutes into the game and I run into dozens of glitches like getting stuck in an endless loop of restarts when I entered some water. Or random freeze ups. It looks good and maybe on Windows it runs better but I bought it for my Mac to play something chill on the go and this isn't it sadly.,,,,,,,,,,,,,,,,
121,"Game is okay, it's just way too scummy, I just wanted to play as an insectoid hive and oh and turns out I need biotech for a mod that makes my insects sapient and not need comfort or beauty, and the DLC prices are insane",,,,,,,,,,,,,,,,
128,"I cannot say if it's a good game or not in the long run. What I *can* say is that it is in no way beginner-friendly. It has a tutorial, but it is not very helpful. The main issue is the UI, because while I can respect the fact that it's a very complicated game, the presentation of information is overwhelming. Let's look at an example, my attempt at the *first* tutorial (which I got 6 hours into before giving up): So, I get a warning that my chosen nation's (relative) status is weakening. To maintain or increase my standing, I need Prestige. This is a ""basket"" resource comprised of other factors, such as GDP, military might, and so on. I'm already building my industries, so I will try to focus more on that. I have recently invented railroads, which needs coal to run, so I decide to build a coal mine while also developing my first railroads. Only one of my provinces presents coal mines as an option, along with a tooltip telling me that a mine will not produce anything. No idea why. I still build it, because while other nations might sell some coal, I don't have anything I could trade for it. After some time, the mine finishes building, and sure enough, produces nothing because nobody goes to work there. There's plenty of job-seekers, so no idea why. Then my railroad finishes building. Oh no, now I need Engines. Engines are produced from Steel, which also needs coal. Probably close to half of my 6 hours of playtime I've spent Paused while looking into menus, trying to find the information that helps me understand something. But honestly, when I started looking at Citizenship policies and I'm presented with probably around 30 effects that policy would have on my society, and I have no idea what any of that means, I'm giving up. I don't mind that abundance of information existing, but a summary (ie. ""This policy grants group X more rights and makes them politically stronger and stable, while weakening and angering group Y."") would be immensely more helpful. I really wish I could get into it, but this is a consistent problem with Paradox games. The tutorial would be much more helpful if it handed down a small nation and guiding you through its development, than tossing you into the gears of an already running complex machine. As it stands learning curve uppercuts you right on the doormat that says ""Welcome"", instead of padding it out in the longer haul.",,,,,,,,,,,,,,,,
134,"i have no idea how this thing is getting overwhelmingly positive reviews without paying for them. ive tried again and again for 7 hours to to enjoy this game and i just dont, the stories are intriguing to a point but really lose their luster fast, the combat is meh really, the just constant every minute of the game monsters oh hey were stronger oh hey we grew again you can spend some points to get a 30 second repreive. honestly wish i could get my money back games like this really make miss game stop, glad i waited till it was on sale wasnt a total loss. now to the trash bin with it",,,,,,,,,,,,,,,,
136,"I really wanted to like this game, as I adore cozy games, being a cozy little guy myself. The thing is, the world feels kind of empty and one dimensional, the combat is boring, and progression isn't satisfying. There's no motivation to explore, as chests and secrets are more or less useless, and much of the environment feels stamped and homogeneous. Once you get past the light saturation, it could be a very pretty game with just a touch more effort. I'm all for the cartoon art style, but something about this doesn't quite hit right. Maybe it goes back to the lighting engine. Very flat shadows, nothing pretty to look at volumetrically or even on backdrops such as stars or sunsets. The combat is so bland and repetitive that I actually found myself dreading it and going out of my way to avoid it. There's no gimmicks, let alone actual mechanics. It's just ping pong with damage numbers. And as for item progression, you start out with a small backpack that forces you to shuttle items like mad, and end with a bunch of chests to dump items from a backpack that never quite gets large enough. So you end where you started. Shuttling items like mad. Except now you have to sort everything. And weapons change a little bit. Also at some point five gidgets made one gadget but now a hundred widgets make one wadget. They forced a little Stardew Valley in there somehow with the whole relationship thing. But without the rich storytelling it was just sort of there. I wasn't drawn into that at all. It's a cute game, and I adore the concept. I would definitely buy it on sale, but don't expect a lot from it. Maybe a few days at best, but don't expect replayability or to stay entertained for very long.",,,,,,,,,,,,,,,,
143,"You open the game and are put into an atmospheric setting, rainy, sad and murder about. You go to your first crime scene to find your first victim. You then snoop and use your detective skills. You find clues, sources, names, even fingerprints. Your first case! Excited you start tying it together. This individual works for this place, they are roommates with this person...oh and they received a threatening letter, along with an email detailing a possible grey haired stalker, i think we are onto something. On the tail of the case, with the clues you have gathered, you decide to head out and catch this killer. Going around this sad noir city, you get hungry, pick up some noodles and mow them down. At the restaurant, you find yourself a gig to take a photo of someone. You knock that gig out of the park and get yourself some money! Out on the town, you decide to find the poor victims roommate, they know nothing....they also have black hair. Certain the grey haired person did it you cut the roommate free. You decide to go to interview a few individuals mentioned in notes of the victims home. They all seem to be too difficult to get to because of their social status. Fair enough and at a loss, you decide to cut it back a bit and go to the victims workplace. Before heading to the work place, you decide to install some perks. You get an apartment, as empty as it is, you love it because your detective skills have gotten you here. After doing a few other things to help get you some ground in this awful city, you head back out on the case. Locked in, you buy picks, you eat and drink. then head off to the victims work. You wait for it to open, sitting on a bench because the apartment you worked for has no bed. you have this, the grey haired individual will be here. It's 9am and the work place opens, you head in and their is only one person, they do have grey hair...but they are too stubborn to give information of course. You snoop around...sabotage a camera and then go to sabotage another...alarms ring and the multiple turrets drop down to get you. You forget to save, you are injured, fined and sent across the city...then you rage quit. This game has so many good systems to only then be toppled by caveman systems. I understand the it is stealth, it is immersive by creating a life around the city and cases. When you get so into a case, a game, a character, i feel you get clotheslined by such nonsense means like turrets in the ceiling of a 1979 low class office. I takes you out completely, makes the game feel more like a slap than a joyful immersive/sim. The work up and through the cases just don't fit the abrasive punishment to a camera spotting you. Like riding a trike along a cozy trail...to then slip off a cliff.",,,,,,,,,,,,,,,,
149,I couldn't even play because I couldn't connect to the servers.,,,,,,,,,,,,,,,,
