row,recommendationid,review_text,bugs_crashes,developer_conduct,difficulty_punishing,monetization_dlc,npc_ai_pathing,opacity_teaching,performance,procgen_hollow,rng_unfair,shallow_repetitive,taste_mismatch,tedium_grind,ui_controls,unfinished_abandoned,update_regression,non_substantive
15,229312646,"Don't play this game, you may get addicted to the tactical and strategic gameplay, but at this moment the RPG, economic, war and cultural gameplay has been curtailed for the sake of CONTENT!",,,,,,,,,,,,,,,,
16,223047208,game is poorly made buggy as hell and just overall obnoxius. you get attacked by npcs randomly which make the game completely unplayable overall a waste of money. it also lags my pc (i have a 5060) so overall poorly made garbage,,,,,,,,,,,,,,,,
17,226387627,"I've really enjoyed this game and have played it since it first came out. For a while each release pushed the game in the right direction. The trade rework was amazing, until they patched it because the AI would give you anything you wanted. I agree it needed a patch but the implementation didn't solve the core issue and instead nerfed the update into oblivion. The national awakening patch seemed to serve no purpose other than some light content for a few countries and never ending coups and revolutions for everyone. Now with the latest patch they've finally broken the game- the combat system has always been buggy but now it's unusable. And if you save scrum to get around the never ending bugs your reward with be a front row seat to watch every country splinter and fragment because the AI cannot deal with said NEVER ENDING COUPS AND REVOLUTIONS.",,,,,,,,,,,,,,,,
18,219312404,"I really really wish I could recommend this game, I think it's very interesting and such a cool sandbox. I'm not particularly bothered by the amount of content as some other reviewers are since to me it has more than enough to keep the sandbox engaging and that's all I really need in a game like this. More variety would be nice, but not at all the issue I have with Shadows of Doubt. The game just doesn't perform well at all. I've played it on a handful of PCs and even after upgrading to an RTX card to deal with the forced ray tracing here it's always the same. If your game struggles to meet a stable 30 fps on a modern gaming rig while running at 640x480 resolution on the lowest settings available, something is fundamentally wrong with it. Indoors the game does better, but unless you're like me and are occasionally willing to cap the frame rate to 24 @ 800x600 to make it an ""analog cinematic experience"", it's gonna be a very rough ride. (I'd have stuck with 640x480, but none of the UI scales so everything below 800x600 is totally illegible.)",,,,,,,,,,,,,,,,
19,223806263,"Game graphics don't work correctly out of the box. Mouse pointer not in the location it shows up in game. Like, it's offset or something. Need a bunch of tweaks in the launcher to even make it launch on the correct monitor and it's hard to select the settings because the mouse isn't where the pointer says it is. By the time you get done messing around with graphics garbage your refund window is probably going to be expired. I'm not supporting something that can't even display properly out the gate. Launch the game with Steam. That launches the game launcher with a game launcher. Then you launch the game with the game launcher's launched game launcher. Just put all those options into the game! I feel like I'm living in an Xzibit meme. Or Inception movie....take your pick of relatable reference. Fun example: In the tutorial it has you click the + and - button on the minimap. Well, the mouse won't go over there because the offset is screwed up so I'm softlocked right at the second window in the tutorial screen. Great job. I've got a better tutorial: Just close this and browse to a different game. At least until they figure out the graphics situation. Not mentioned in PC specs: Dual x34 Predator monitors. That might matter for the devs since there were about 3000 options for dual screen tweaks, none of which fixed the mouse issue.",,,,,,,,,,,,,,,,
20,229028612,"Game used to be chill, but for some reason brawls happen everyday and I guess the guards are there to just walk around and do nothing. No I'm not going to ""Optimize"" where my citizen live because I actually want my city to look like a city, not a factory line. This recent update sucked any fun I was having with the game. I like city builders, but I hate when I have to play in the most unimaginative way possible. If you want to do something similar to this game go work at an Amazon warehouse, it'll have the same vibes.",,,,,,,,,,,,,,,,
21,224645168,"This game is an absolute slog. Grind, grind and grind some more. Everything is very slow. You walk slow, you get tasks done at a slow pace due to constantly getting tired and having to sleep, things like the forge work very slow...etc. I knew about zombies so I worked my way up to being able to build them. I figured this might take the edge off some of the slog. I then watched a video about how to make zombies. After seeing all that you have to go through to make a single zombie, I went ""hell no. I am not doing all that""...and quit. At no point was this fun or amusing. It just felt like playing a crappy mobile game. I would also add that the game does a horrible job at explaining how to do things or what you should be doing. I was CONSTANTLY looking things up on forums, wikis and videos.",,,,,,,,,,,,,,,,
22,220968276,terrible instructions and tips on how to actually play the game. frustrating you cant just click on a worker and click on what you want them to build. would really think that this would be something that would be smoother.,,,,,,,,,,,,,,,,
23,230949925,"Been trying to get this game to run on my Acer Laptop for almost a month now and I cannot seem to get it to run. I've been trying to play the AGOT mod on it and it's always stuck on the ""revealing the secret city"" loading screen. Not sure what needs to change to make this game work but it's been very disappointing to say the least..",,,,,,,,,,,,,,,,
24,224691060,if i had known gustav was my long lost art critic lover from japan i wouldn't have let him starve so often. very weak storytelling for a game that wants to make you feel something,,,,,,,,,,,,,,,,
25,223887340,"The animation is great. The combat is ho-hum. Many game systems are terrible, and the story leaves much to be desired. Finishing the first Chapter and having a unit permanently blinded and de-buffed as a reward... what? Being given choices, and both of them are negative, but one is more negative. Forcing your characters into retirement? There are many far better games to pick than this one.",,,,,,,,,,,,,,,,
26,230152959,ruim,,,,,,,,,,,,,,,,
27,225353767,I've played 553 hours in the past 61 days and PARADOX KILLED THIS GAME WITH THE LAST UPDATE. The big navy update that was recently added has introduced a ton of bugs and exploits to the game completely imbalancing it. Hopefully they revert the changes or modders can revert them but the game state is EXTREMELY BAD RIGHT NOW DO NOT BUY IT AT ALL.,,,,,,,,,,,,,,,,
28,224619830,"Very complicated, too many functions and goods. Started learning the game, selected Sweden and after 1 hour I did not finish the first Tutorial. Tutorials not organised by categories like - economy, diplomacy, etc. I spent one hour improving farms and stuff and did no really get anywhere in the game. would probably have to dedicate weeks to get anywhere. Dont have that time.",,,,,,,,,,,,,,,,
29,222452936,"Half baked as it currently stands, dont recommend. One side note is that given this is basically Rimworld from a 3D perspective, the fact that the animations for building feel so unpolished and rudimentary really takes away from the game aesthetic appeal.",,,,,,,,,,,,,,,,
30,220239126,"Can just press a button and enable cheats, theres no game here if you can just cheat.",,,,,,,,,,,,,,,,
31,200272300,a cheap stardew copy. the controls are a bit off and it feels buggy. the world is quite big and tedious to get around. im already bored of grinding for the first task,,,,,,,,,,,,,,,,
32,226711499,"good game, but the amout of map game autism and lack of deodorant needed to play this is insane",,,,,,,,,,,,,,,,
33,228127024,"I started a town 6 times and the people died out from under me to the point where the society stalled. They died of freezing in the summer. They died of starvation while harvesting full fields of food. All efforts to feed the little bas**rds had no effect. It's a fun concept and I was engaged, but I ground down to the easiest level, best weather, and no disasters, and still had societal collapse. I have more important things to fail at.",,,,,,,,,,,,,,,,
34,231032118,"a lot of problems and breakdowns latest ""patch day or what ever it was broke my game even when I remove the whole EA folder and reload game this is not right I also have payed dlc and everytime I get my mods right there is an update and it wrecks everything for a month then juust as I get it all going it happens again this has been the case for EVERI love the game but this is just not somthing I would wish on anyone",,,,,,,,,,,,,,,,
35,229209965,"129 hours of the most boring gameplay of all time. Half-vanilla, half-modded. Neither felt like there was really anything worth playing with. Zzz. 0/10. Buy a house? Cool! Build your stuff away from the city, as far away as possible. Also, why do all of my dudes have the Commando Pro perk? I'm hitting fog boys all the way from Puerto Rico, the hit detection is scuffed to 11. Then there's the fact that there are zero achievements. The replayability is pure placebo. A new start isn't a new start, you'll just realize after 10 hours (or nearly 130) that you could have played a more intuitive and immersive game... or just watch paint dry. Kenshi is pretty, if you have the nostalgia glasses.",,,,,,,,,,,,,,,,
36,227123444,I can't condone Paradox's business practices and milking customers with endless addons.,,,,,,,,,,,,,,,,
37,223837070,i want to die,,,,,,,,,,,,,,,,
38,221408632,"I really wanted to like this game. The art is amazing, music is a vibe and the world seems interesting but all of that being held back by a rather repetitive loop of gameplay that is such a slog to interact with. Everyone saying this game is about death and letting people go but none of the characters I met were interesting enough for me to shed a tear for them except only one or two. This is a work of art but not a fun game.",,,,,,,,,,,,,,,,
39,228921283,"Game is great but the developers never put the game on sale, and the reason given is terrible.",,,,,,,,,,,,,,,,
40,228455835,"The game would be much more fun if there was a proper tutorial. The one in the game is broken into 2 phases and teaches you next to nothing. You're basically expected to google everything. I'll probably keep playing, but I do not recommend anybody buy it without knowing exactly how rough it is. I'm a play it blind kind of person, which makes Syx very difficult to get into. I had no idea how to do research and spend the points. The tutorial doesn't cover it at all. Google got me sorted out. I got raided and had no time to train an army or even learn how to command what troops I had. The tutorial doesn't cover it at all. Even after losing, I still don't know how to fight battles at all. My first colonies collapsed near instantly. The tutorial gives you stat padding to prevent failure, so you need to start out with a moderate level of skill or its over before it starts. Your people will constantly want things you aren't able to build or provide. You need them to progress, and you can't get them without progressing. It's extremely painful early on, but you don't learn how to deal with it at all. The UI is actually hell. There are so many buttons and settings, and many of them don't have adequate explanations on the tooltip. The tutorial doesn't explain most of what you're looking at, only the few things it wants you to see. There's plenty more, but I think I made my point already. Take a quick trip over to the reddit and you'll see its pretty much nothing but people asking basic questions the game should have taught you.",,,,,,,,,,,,,,,,
41,220021937,never loads save suck loading sceeen,,,,,,,,,,,,,,,,
42,231186680,The money this franchise owes me..............,,,,,,,,,,,,,,,,
43,230557936,"I bought it for 20 Euros and now it is free, give me my money back please",,,,,,,,,,,,,,,,
44,209306164,"I would rather play Rimworld since the system and UI used here is very similar anyway, and Rimworld has mods for medieval playthroughs as well as ones for layers so you can build multilevel buildings. I would suggest just getting Rimworld and mod it. Rimworld is older, is recieving constant updates, has a good modding community, and overall plays a lot better than this with a lot more vanilla customization to playthroughs even before adding mods.",,,,,,,,,,,,,,,,
45,226443214,The game crashed so frequently after latest DLC. It is unplayable at all,,,,,,,,,,,,,,,,
46,225083799,Victoria 3,,,,,,,,,,,,,,,,
47,230444284,"Game requires internet to start first time to download VS dependancies from Microsoft website to install Paradox Launcher, without internet the download fails and game does not start. Mods do not install without running launcher first.",,,,,,,,,,,,,,,,
48,205608536,Buggy mess,,,,,,,,,,,,,,,,
49,228676661,I really don't like the gasses mechanic and it's like the whole point of the game. It's tedious.,,,,,,,,,,,,,,,,
50,230903897,"more game content,faster updates!",,,,,,,,,,,,,,,,
51,224799395,This new Update regarding the Navy is very unfun to play,,,,,,,,,,,,,,,,
52,230353935,I cannot recommend this title in its current state. It is simply too bugged to play.,,,,,,,,,,,,,,,,
53,221445643,boring,,,,,,,,,,,,,,,,
54,229583393,bad,,,,,,,,,,,,,,,,
55,224195147,"Way too buggy right now. Promising idea, but working through the bugs is unpleasant.",,,,,,,,,,,,,,,,
56,211047994,Game is super fun with lots of aspects and experimentation. Can't get over the fact that when you reach the end it just deletes your save and character even in roleplay. I am just trying to experience all the endings and see the story without spending another 30 hours or using debug.,,,,,,,,,,,,,,,,
57,220137957,"Every part of Qud's design that involves creativity is brilliant. Every part of it that involves judgement, or seeing the big picture, is totally incompetent. It's also a game that seems to resent its players and that is actively hostile to their understanding of the game world. First, the game generates visual scenes with are utterly incomprehensible, due its the haphazard, thoughtless map generation algorithms. I have never played a game where it felt worse to try to stumble through level maps, because they are absolutely crammed full of tiles that block movement, or sight, or both. The number of these blocking tiles would literally need to be decreased by a factor of two or three to be acceptable. The map generation process doesn't verify the inside of structures it generates connect to the outside. It doesn't even make sure the player isn't trapped in one of these inaccessible spaces when they enter a level. Awful, low contrast color choices make it hard to tell apart tiles from actors or tiles from other tiles. And that's before the screen gets smeared with blood and gunk and slime. Over the course of battle, characters leak an absurd amount of fluid. And it just builds up, and builds up. Your character slips on it and steps in it. Sometimes these fluids are harmful, and sometimes the does warn you before you step on a harmful tile...And sometimes it doesn't. Autoexplore can kill you. The level of message spam the game throws at you is bizarre. The message buffer narrates every time you walk under a tree...Even if the tree does nothing. The message buffer is the entire length of the screen on the right side, and yet it still barely keeps up with all the meaningless nonsense messages the game drowns you in. Oh, if there is some sort of environmental fluid on equipment you use or encounter, get ready for an even longer description to be crammed into the buffer each time you attack with it. The game is possessed of cascading effects that are ignorant of each other, and difficulty is completely uneven. At certain break points in stats, damage is multiplied many times over, meaning that you can go from enemies being fairly harmless at some stat levels to killing you in a few shots at slightly higher levels. Experience rewards make no sense based on how difficult enemies are to kill. Some types of end game enemies are assigned random abilities, and this means an enemy with exactly the same appearance can be either a deadly threat or trivial. Finally, it's a game with so many interface screws on top of it's already obfuscated visual style. You can go colorblind. The screen gets scrambled when you are confused. The names of your items are scrambled when you are confused. For all these reasons, I've never played a game where I said more often ""I don't know what just happened."" Understand this: Qud is a meme game. You can post interesting stories about it online, like the time you got ""crungled by a dreamcrungle"". But actually playing it is like wading through sewage.",,,,,,,,,,,,,,,,
58,224646627,It tries to be stardew but does nothing of the good stuff. Tutorials are incredibly bad to the point where I was googling stuff within the first 10-20 minutes. It takes a lot of grinding early for minimal progression and you can fall behind and it starts to snowball. Does not respect your time to get going either,,,,,,,,,,,,,,,,
59,200892562,"I have close to 10 hours on this game and it has crashed at least 5 times. Towards the end of the day so when it kicks you off, youve got to start the day over again. incredibly frustrating. I have asked for a refund. I wanted to like this game but the constant fear of crashing is just too much .",,,,,,,,,,,,,,,,
60,202369430,Stock standard strategy game where Chat GPT tells you how exciting it is so you don't have to use any imagination.,,,,,,,,,,,,,,,,
61,231163756,"This game is so mind numbingly boring in the beginning, with the cost of anything being outrageous? 2400 to actually have an inventory? I still haven't made that much and I'm on day 10, feeding almost everything that isn't a basic resource or new mineral into the sell box, just to get 35 gold at the end of the day. The energy and time mechanics make it to where every day feels like I can never get the most out of it, and when I try to, I end up out of energy unable to make it back home until I pass out in the streets. on top of everything, only working with 10 slots of inventory, where the max stack of anything that isn't wood or stone is THREE. You will never get anything done until you've somehow made 10k by selling everything to your name, on top of the townsfolk bothering you with menial stuff at the beginning of each day. Why are you giving me a cat? I have the equivalent of $5 USD in my account, what am I gonna do with a cat? Why does a beer cost $400? No wonder Joja is taking over this town, everyone is an uptight ♥♥♥♥♥♥♥ that extorts anyone that wants to live, and expects you to fix their problems. ""oh, the community center is abandoned and fallen apart"" says the mayor, who's entire job is to take care of things like this, and knows you just moved in and are currently struggling to make 100g off of parsnips. All of this, coupled with how dreadfully slow, yet time dependent the whole game is makes for a frustrating experience.",,,,,,,,,,,,,,,,
62,199049518,I can maybe see the appeal if you find the random storytelling appealing but the gameplay is bad.,,,,,,,,,,,,,,,,
63,229629989,This game drives me up the wall.,,,,,,,,,,,,,,,,
64,225266644,"Definitely not a bad game, and a very interesting topic, but the further along I progress the more tedious it became, and the more like a running simulator it became, and that got boring very quickly. Not bad for a free game but if you're deciding between this and stardew valley, go with stardew valley.",,,,,,,,,,,,,,,,
65,224563604,1.13 is a disaster,,,,,,,,,,,,,,,,
66,231174954,A name that used to stand above but a franchise I will no longer support under their current circumstances,,,,,,,,,,,,,,,,
67,223334754,"The game is pretty fun when you are just starting out and discovering everything. It's also pretty unique and tries something that is the game industry is really lacking right now. I'd recommend it if the devs were trying to improve it, but that does not seem to be the case, so I'll judge it as a finished product. For something that calls itself a ""immersive detective simulator"", this game isn't immersive at all. The worst offender is probably the complete lack of consequences for player actions. You can break into a guy's house, knock out his wife in front of him, open his safe, steal all his stuff, go out the front door and run away for like 10 to 20 seconds, then come back, knock on his door, ask him to come in and he's like ""Of course, make yourself at home :)"". All your crimes are pardoned and you don't even have to return the $20k diamonds you stolen right in front of him and 2 cameras. Because of this, if you want money to mean anything, you pretty much need to make it a house rule not to steal anything. The NPCs really feel like lifeless robots. They will never remember you or anything you done, your interaction with them is very limited and they're usually pretty unhelpful, which is really sad since interrogation is a big part of investigation. You can ask an NPC about the victim and they'll respond like ""Oh yeah, I saw them near X"" as if they were still alive and walking around. The partner of a victim is just as likely to let you inside their house to investigate (or be helpful in any kind of way) as the murderer. If someone is murdered inside their house and they have a partner, the partner will stand outside the house knocking on the door trying to get in as if nothing happened. In fact, the entire NPCs routine is very weird and buggy. Speaking of which, there are also tons of bugs, but I didn't find anything game-breaking while I was playing. The procedural generation is OK, sometimes it generates broken stuff but there is a good variety of NPCs, buildings, rooms, notes, emails, even cases. It's pretty impressive. However, due to the nature of it, things are bound to start repeating. I had 2 murder cases back to back that were basically the same case with different NPCs. The side jobs can generate some really insane cases like ""find this person, they have blue eyes, blond hair and their shoe size is 14. Good luck :)"". Overall, I'd say the game is decent, though I expected more. You can definitely play it for a while as long as you don't expect much of it. The biggest issue to me is that it's very easy to see the ""cracks in the simulation"", so it's very difficult to get immersed, which seems to be what this game tried to do.",,,,,,,,,,,,,,,,
68,230530161,"good game, but its the most retardedly built game i've ever played, good gameplay, but just loading the game itself can break it, sometimes it just sets itself permanently over your entire screen on all desktops and there is nothing you can do besides restarting your PC, and once you start a game, you cant exit to main menu, doing so just shuts down the entire game and restarts it, WHY?",,,,,,,,,,,,,,,,
69,230866760,oh my goddd stop putting out garbage DLC and fix multiplayer its been 6 years,,,,,,,,,,,,,,,,
70,214004464,"Absolutly love Rimworld. DF lack QoL option and is not really fun, i dont care about my dwarves like i care about my pawn in RM. I understand that it can create story, but you can completely miss it and then the game become boring. It seem ""loosing is fun"" but i juste dont loose, just nothing happen at all except a drunk guy fell into the well and drown. (absolute cinema) Does'nt really have the time to play a game that take hundreds of hours before becoming something that i can enjoy. I gonna give it another try when more Qol will be added, like copy/pasting layout or planing without having the furniture made yet.",,,,,,,,,,,,,,,,
71,230725188,"This game is barely balanced, combat is a mess and things degrade far too quickly. I lost a 2k population city to some bandit who had 150 guys vs my 1000 because the controls of the army are just such a mess.",,,,,,,,,,,,,,,,
72,227280710,"walking through empty desert looking for rocks simulator. If you've played an empty early access jank crafting game before, you've already played this",,,,,,,,,,,,,,,,
73,225734174,"Please read the reviews written by ZO_hueman and goobydrewbie. I want to love this game but unfortunately (and specifically) both of these reviews perfectly capture the reasoning behind mine being Negative. 2 months later game has had updates, still not a medieval colony sim, still a ""cozy house building sim"" with few extra features. Wish i could refund",,,,,,,,,,,,,,,,
74,207203821,"Well, players' villager AI still sucks. almost always take the longest route and do jobs as inefficiently as possible. It has had too many bugs for more than 3 years of early access. It's lovely to build in this game and all, but it's frustrating to play.",,,,,,,,,,,,,,,,
75,188098573,"Was hoping for a cutesy brain out builder game like Stardew Valley, but this was just so much work. Not at all intuitive. The in-game tutorials are unhelpful and incomplete. How is there not a section on inventory? Why did I have to find the backpack inventory by smashing keys until I got to M (map) and found an inventory tab there? I needed to build a stone tool. The assembly station handbook has an entry with a stone tool. There is an effect when I hover and click it, but nothing happens. I figured out you can only build it at the craft table. Why was there a stone tool entry in the assembly workstation handbook, an entry that does nothing when you click it? Why isn't there a textbox search for (possibly) hundreds of craft items? Why did I have to scroll so much to find stone TOOL under the furniture section? When I walked to a river it just... phased out to black for a moment and then I'm still at the shore? What? Is that a world boundary? Can the character not swim? No explanation or animation, just a fade to black and you're standing at the shore. I wanted to like this game but it was just meh.",,,,,,,,,,,,,,,,
76,231752685,why each time I start a new game all my neighbors are couples of black oversized lesbians with 1 kid (boy)?,,,,,,,,,,,,,,,,
77,217568045,"Shadows of Doubt has the perfect basis for a really solid detective game If you actually would play a detective instead of a robber or a bully Everything about this game has potential but said potential never gets fully realized, and its disheartening honestly. The Enforcers are basically useless and are just there to come if someone gets murdered or kidnapped to tape the area and guard the door. They could be more interesting if I could bribe them to make my own crimes go away. If they would actually investigate my own crimes I do, which they should do. There could also be a huge cover-up or other types of corruption case with the enforcers. Bribe them to get into places. Ya could get a job to frame somebody and call the enforcers on them. How civilians work need to be overhauled because just throwing an object onto the street like a bottle of alcohol will make them hostile and even attack you. They also react to your crimes and attack you. There needs to be more of a bystander effect where they either call enforcers or just ignore it. Civilians also need more random events onto the streets, the default one is just being robbed by one. But what about stopping others from being robbed, attacked etc? Maybe you catch 2 people arguing which can turn out to be a case? It has endless possibilities. How you also finish jobs is extremely repetitive and its either extremely easy or borderline impossible. *Has Long Hair* *Suffers from Alcoholism* Great, how the hell should I figure out my target with that? Especially with the limited options I have to ask people. All your info you get from a government database anyway. You can just go into cityhall, go onto a enforcer computer which you are just allowed to access. Buy the extremely cheap codebreaker for 75 bucks and you're good to go. And its in an area where you aren't marked as a trespasser. More options would be nice. Maybe search options instead of names at certain locations. As an example of what could be different: Your target had an alcoholism problem and was recently released from rehab. You break into said center and try to find any person who had been recently released, had an alcoholism problem and also other descriptive features. Or maybe bribe someone to get you said info. Huge potential to more facilities where you can get info from. Right now its just workspaces, patient records and government database, but they all work the same way by typing in names. Government Database should only work with names, workspaces too. Patient records should work with names, symptoms and other afflictions. The type of jobs could be expanded. Yes the game has a workshop, but should fans take up the slack and make THE detective game? Maybe. Or they should work on a sequel that fixes all these problems. IT IS still a very fun game and its still very unique",,,,,,,,,,,,,,,,
78,223867887,"It's a great concept and could be a lot of fun. It needs a lot of bugwork, though. Half the time I spent playing was saving and reloading my game so my dupes would repath, or so storage would become available again, or a building would be buildable. Literally they just sit there idle and no amount of prio fixing, deconstructing, cleaning, Etc... will make them do anything. Just a save and reload. Very frustrating to have to do it so often.",,,,,,,,,,,,,,,,
79,227018138,Endlessly optimizing resource gathering and balancing without any clear end-goal purpose is not a sustainable game mechanic. The game seriously lacks depth.,,,,,,,,,,,,,,,,
80,192991650,"A drunk West Virginian coal miner with black lung could load more coal before lunchtime than an entire workforce the ingame miners can do in a year. (Coal country miners typically did 6-12 tons per day, enough to keep over a hundred homes warm for a year... IN ONE DAY'S WORK.) In this trash bin find, with it's abysmal economy, allows each of your poor little coal miners to eek out in one YEAR just enough coal to keep up with one year's need of... FIVE HOMES. Around the clock, tying up a whole human... To keep at most five families from freezing. Miserably hard to scale a town without pleading to the forest to bear enough wood to fuel the fires to keep your people alive in slightly cold weather. Stupid, railroaded playstyle, and designed for soyboys to feel good about themselves not accomplishing ANYTHING. Developer needs to pick up a shovel, go outside, and re-calculate his bogus production numbers. Make these idiots work harder.",,,,,,,,,,,,,,,,
81,230186992,"Glitchy as ♥♥♥♥. So many different buttons and things you have to factor in, its not intuitive at all.",,,,,,,,,,,,,,,,
82,224916321,Slow development time compared to the amount of content added each update. Slow response to game breaking bugs/updates. Disconnect from developers and the what the community wants.,,,,,,,,,,,,,,,,
83,221316629,"Awesome concept, but not in a playable state. This game is buggy, and though I really want to like it, This game is no longer considered to be in Early Access by the developers, but it definitely feels like it still is. I cannot recommend this game to anyone unless there are some significant bugfixes from ColePowered.",,,,,,,,,,,,,,,,
84,222420523,Ehh.... not really fun.,,,,,,,,,,,,,,,,
85,229383790,"Spent 9 hours trying to get a mod to work, only to find out the content in the mod was blocked because it involved animal animations. When I spend money on a game, I should be able to play it the way I want to play and Regardless of the mods I choose to add. This game does not allow certain things to happen, therefore, I deleted it. Skyrim will still let me play my way!! $60 plus ... Wasted Money!",,,,,,,,,,,,,,,,
86,229110842,"What a terribly designed game this is. There's NO tutorial, No explanation of what to do, just an incredibly dense GUI and zero assistance. just learning how to play this is so dense, its pathetic. Only buy this is you are dedicated to learning every aspect of the gave control and scenarios. its not something you can pick up and play and frankly, the lack of finished game here is appalling. absolutely not recommended to anyone except the die hard strategy fan who is prepared to read through multiple websites and wikis just to find out what the point of the game is and how to play it.",,,,,,,,,,,,,,,,
87,231786611,The house glitches ruined for me. Can't upgrade my house and given the community page it doesn't look like those issues will be fixed in the near future.,,,,,,,,,,,,,,,,
88,230773586,게임좀고쳐라,,,,,,,,,,,,,,,,
89,220432607,"constant crashes, two times blue screens, and once my pc turned off only for vicky 3 until it changes, my review will stay negative",,,,,,,,,,,,,,,,
90,230348825,"I don't recommend this game at full price. It has some amazing artwork, but the game lacks depth. The DLCs should have been updates to the game rather than pricey content. Essentially what you see in the trailer is the entirety of the game. It's all grinding out materials and doing fetch/craft quests. The mechanics can feel satisfying at times, but it can only last so long before it becomes boring and repetitive. It's a shame because I had been wanting to get this game for a while, but now I'm glad I got it on a massive sale.",,,,,,,,,,,,,,,,
91,206001131,buggy ♥♥♥♥♥,,,,,,,,,,,,,,,,
